Group,Year,Total Attacks,Wounded,Deaths
Taliban,2010,308,866,712
Taliban,2011,214,808,815
Taliban,2012,800,3040,2568
Taliban,2013,775,2675,2747
Taliban,2014,1035,3658,4115
Taliban,2015,1249,5252,5220
Taliban,2016,1065,4643,5030
Taliban,2017,894,3974,4814
ISIL,2010,0,0,0
ISIL,2011,0,0,0
ISIL,2012,0,0,0
ISIL,2013,374,3649,1458
ISIL,2014,1249,6597,10261
ISIL,2015,1221,7602,8461
ISIL,2016,1454,8617,11690
ISIL,2017,1315,4207,7053
Al-Shabaab,2010,72,242,206
Al-Shabaab,2011,164,619,294
Al-Shabaab,2012,236,866,710
Al-Shabaab,2013,325,860,751
Al-Shabaab,2014,871,1042,1789
Al-Shabaab,2015,397,925,1646
Al-Shabaab,2016,564,1294,1564
Al-Shabaab,2017,570,1241,1883
Boko Haram,2010,17,130,72
Boko Haram,2011,125,453,327
Boko Haram,2012,424,729,1256
Boko Haram,2013,234,380,1729
Boko Haram,2014,495,1786,7118
Boko Haram,2015,540,3507,6510
Boko Haram,2016,240,1364,1468
Boko Haram,2017,333,1124,1544
NPA,2010,55,38,29
NPA,2011,48,26,40
NPA,2012,86,130,110
NPA,2013,210,236,156
NPA,2014,289,271,188
NPA,2015,322,298,198
NPA,2016,172,101,99
NPA,2017,358,269,197
Maoists,2010,0,0,
Maoists,2011,36,14,22
Maoists,2012,166,168,130
Maoists,2013,165,46,120
Maoists,2014,252,148,117
Maoists,2015,274,119,92
Maoists,2016,267,119,134
Maoists,2017,206,165,121
CPI-Maoist,2010,505,416,722
CPI-Maoist,2011,371,247,329
CPI-Maoist,2012,50,42,27
CPI-Maoist,2013,47,90,87
CPI-Maoist,2014,70,49,72
CPI-Maoist,2015,87,69,95
CPI-Maoist,2016,95,47,60
CPI-Maoist,2017,108,67,101
PKK,2010,15,7,13
PKK,2011,35,71,25
PKK,2012,140,377,230
PKK,2013,21,14,14
PKK,2014,65,39,22
PKK,2015,336,595,319
PKK,2016,363,1540,584
PKK,2017,156,246,179
TTP,2010,161,1338,866
TTP,2011,121,1221,655
TTP,2012,173,1289,1003
TTP,2013,157,1372,687
TTP,2014,167,919,784
TTP,2015,109,367,365
TTP,2016,95,710,337
TTP,2017,98,614,349
Houthi extremists ,2010,8,12,117
Houthi extremists ,2011,0,0,0
Houthi extremists ,2012,0,0,0
Houthi extremists ,2013,21,103,61
Houthi extremists ,2014,135,214,236
Houthi extremists ,2015,381,1935,1306
Houthi extremists ,2016,353,728,857
Houthi extremists ,2017,158,422,443
